"","SIDBStoreId","DeletedTime","appSizeFreedBytes","CapacityFreedBytes","NumAFids","Day"
"1",10,2015-01-30,231.672551443913,10.1465892411716,51038,"0"
"2",11,2015-01-30,322.496737345723,21.8031649169588,71146,"0"
"3",12,2015-01-30,238.864924228649,21.5404836139551,55893,"0"
"4",13,2015-01-30,286.033892695151,20.4696339355469,71529,"0"
"5",17,2015-01-30,291.974528939185,16.9095538080719,55752,"0"
"6",20,2015-01-30,754.256223287241,90.5306780125202,114146,"0"
"7",21,2015-01-30,213.94428188677,23.6804346137078,57444,"0"
"8",24,2015-01-30,413.416882805423,19.2210465779317,119272,"0"
"9",25,2015-01-30,311.251531019217,18.0235591731953,97728,"0"
"10",26,2015-01-30,375.544468463976,27.8453880812367,69286,"0"
"11",27,2015-01-30,449.262480132116,25.5369539120875,84984,"0"
"12",28,2015-01-30,470.865225249026,28.9662646476518,79843,"0"
"13",29,2015-01-30,520.781366209133,42.1777328131502,137804,"0"
"14",7,2015-01-30,275.418234235585,17.3188798215569,56065,"0"
"15",9,2015-01-30,358.883865460309,31.3183629471005,68080,"0"
"16",10,2015-01-30,201.446307523883,9.07852007636575,44686,"1"
"17",11,2015-01-30,292.601967066657,20.0860478302911,65477,"1"
"18",12,2015-01-30,219.168292287443,20.3572517154207,51814,"1"
"19",13,2015-01-30,259.812804156187,19.3173193327602,66167,"1"
"20",17,2015-01-30,262.525811126648,15.4315777930597,50671,"1"
"21",20,2015-01-30,716.861244071665,86.9182159221336,108931,"1"
"22",21,2015-01-30,191.811077819371,21.8189367213454,51503,"1"
"23",24,2015-01-30,374.221352657267,17.7763106650045,107322,"1"
"24",25,2015-01-30,287.499703519227,16.8972991567753,90922,"1"
"25",26,2015-01-30,359.173285748177,26.4504282050866,66631,"1"
"26",27,2015-01-30,408.725068341885,23.5654103517327,78073,"1"
"27",28,2015-01-30,441.576709170029,27.6662579040103,75143,"1"
"28",29,2015-01-30,469.723329120496,37.7222691297084,124405,"1"
"29",7,2015-01-30,255.273459428835,16.0839503963416,52600,"1"
"30",9,2015-01-30,330.198795749356,28.5601369355145,63108,"1"
"31",10,2015-01-30,139.585009801503,6.36007453634102,31281,"2"
"32",10,2015-01-31,2.6798761876571,0.0891430633946584,668,"2"
"33",10,2015-02-01,3.68287303831858,0.201749080942136,1142,"2"
"34",11,2015-01-30,225.904416797683,15.4957428977968,51778,"2"
"35",11,2015-01-31,1.92082793101508,0.0894707152438059,594,"2"
"36",11,2015-02-01,2.1737578039174,0.233806141062814,685,"2"
"37",12,2015-01-30,192.877929308264,17.6843951499341,45730,"2"
"38",12,2015-01-31,2.46697813098308,0.379622551592547,660,"2"
"39",12,2015-02-01,2.75037285663529,0.329287252997347,785,"2"
"40",13,2015-01-30,217.702424664551,16.1186475588511,55767,"2"
"41",13,2015-01-31,7.90891844277485,0.132756014418192,1623,"2"
"42",13,2015-02-01,4.10858913755237,0.237766030354578,1097,"2"
"43",17,2015-01-30,196.12187389502,11.9795745770043,37975,"2"
"44",17,2015-01-31,2.46164379553193,0.119581986275989,580,"2"
"45",17,2015-02-01,5.52219371979754,0.249139891615414,829,"2"
"46",20,2015-01-30,710.661482998205,86.1455834467433,107740,"2"
"47",20,2015-01-31,6.25330617843974,0.629521995958385,1420,"2"
"48",20,2015-02-01,9.6157577485601,0.344121871596144,1577,"2"
"49",21,2015-01-30,141.809579949744,16.251043177228,38295,"2"
"50",21,2015-01-31,0.958779069115735,0.243840389768593,376,"2"
"51",21,2015-02-01,3.31947642323212,0.445295594209711,701,"2"
"52",24,2015-01-30,289.823146139876,13.3912007499757,82852,"2"
"53",24,2015-01-31,10.174925078848,0.600340993654754,3685,"2"
"54",24,2015-02-01,2.53567309530808,0.0454498871968099,856,"2"
"55",25,2015-01-30,240.896644358482,14.2828555125107,76489,"2"
"56",25,2015-01-31,2.93396413489791,0.0862997068188633,1094,"2"
"57",25,2015-02-01,2.81844565676602,0.0876373040237013,623,"2"
"58",26,2015-01-30,336.9860898588,25.0063515805978,62777,"2"
"59",26,2015-01-31,4.28197477606136,1.16408199117632,968,"2"
"60",26,2015-02-01,4.46979620890215,0.221024420957292,985,"2"
"61",27,2015-01-30,323.298597135269,18.5831986794874,62188,"2"
"62",27,2015-01-31,6.99030998563831,0.383656956291816,1038,"2"
"63",27,2015-02-01,5.16045173405109,0.236942825626102,1075,"2"
"64",28,2015-01-30,377.737788298598,23.8926168934149,64066,"2"
"65",28,2015-01-31,8.61869215296247,0.759674973521214,1338,"2"
"66",28,2015-02-01,1.80247907494231,0.0823259440967377,431,"2"
"67",29,2015-01-30,358.431129797438,28.9190528304771,95161,"2"
"68",29,2015-01-31,16.8732601743932,0.624246064762701,5280,"2"
"69",29,2015-02-01,5.1977270650832,0.394476494600895,1114,"2"
"70",7,2015-01-30,215.313308081958,13.5866210346767,44578,"2"
"71",7,2015-01-31,3.02655888868139,0.217632271102957,790,"2"
"72",7,2015-02-01,4.84145907060974,0.182390754573134,1071,"2"
"73",9,2015-01-30,261.691265556084,22.956382961419,50234,"2"
"74",9,2015-01-31,6.12556923569628,0.521917546928307,1319,"2"
"75",9,2015-02-01,9.7075104779251,1.94652150499587,1462,"2"
"76",10,2015-01-30,110.739337042087,5.16270502397492,24990,"3"
"77",10,2015-01-31,2.6798761876571,0.0891430633946584,668,"3"
"78",10,2015-02-01,3.68287303831858,0.201749080942136,1142,"3"
"79",10,2015-02-02,5.27177235977069,0.494734509278715,1035,"3"
"80",11,2015-01-30,197.629897348399,13.4871043518178,45134,"3"
